geoid,geographic_area_name,total_population,total_population_age_under_5_years,total_population_age_5_to_9_years,total_population_age_10_to_14_years,total_population_age_15_to_19_years,total_population_age_20_to_24_years,total_population_age_25_to_29_years,total_population_age_30_to_34_years,total_population_age_35_to_39_years,total_population_age_40_to_44_years,total_population_age_45_to_49_years,total_population_age_50_to_54_years,total_population_age_55_to_59_years,total_population_age_60_to_64_years,total_population_age_65_to_69_years,total_population_age_70_to_74_years,total_population_age_75_to_79_years,total_population_age_80_to_84_years,total_population_age_85_years_and_over,total_population_summary_indicators_median_age_years,total_population_summary_indicators_sex_ratio_males_per_100_females,median_household_income,less_than_10000,10000_to_14999,15000_to_19999,20000_to_24999,25000_to_29999,30000_to_34999,35000_to_39999,40000_to_44999,45000_to_49999,50000_to_59999,60000_to_74999,75000_to_99999,100000_to_124999,125000_to_149999,150000_to_199999,200000_or_more,income_in_the_past_12_months_below_poverty_level,no_schooling_completed,9th_grade,regular_high_school_diploma,ged_or_alternative_credential,some_college_less_than_1_year,some_college_1_or_more_years_no_degree,associates_degree,bachelors_degree,masters_degree,professional_school_degree,doctorate_degree,commute_total,car_truck_or_van,public_transport,bus,subway_or_elevated_rail,train_or_commuter_rail,walked,bicycle,motorcycle,other_means,family_households,family_households_other_family,nonfamily_households,hispanic_or_latino,not_hispanic_or_latino,white,black_or_african_american,asian,ZIP,avg_ped,total_vol_7am_8pm,avg_count_7am_8pm,parking_count,target_count,trader_joes_count,whole_foods_count,wegmans_count,aldi_count,station_count
10001,ZCTA5 10001,29079,1173,889,907,1302,2084,3993,4172,2697,1975,1741,1604,1625,1361,1150,1083,600,258,465,35.0,93.7,123393,713,687,434,244,431,203,341,418,225,554,958,1246,1135,592,1702,5214,4293,278,285,1256,707,639,1523,727,9424,5018,1264,542,17539,903,6673,636,5813,224,4803,486,0,296,4715,1424,10382,5547,23532,14221,2923,5228,10001,11740.833333333332,,,484.0,1.0,0.0,0.0,0.0,0.0,7.0
10002,ZCTA5 10002,75517,2259,3268,3051,2724,4797,7173,5944,5349,5147,4267,4511,5651,4108,4945,5034,2646,2124,2519,42.9,101.9,46525,3412,3888,2481,1738,1948,1282,1511,1359,1063,1525,1983,3085,2638,1610,2020,4228,18611,3406,3987,7755,2776,1732,4416,2359,15771,5620,1144,611,32990,2660,15149,2806,12141,109,7646,1564,15,373,16924,7076,18847,18646,56871,19896,6595,27597,10002,2410.583333333333,,,334.0,0.0,1.0,1.0,0.0,0.0,5.0
10003,ZCTA5 10003,53825,1399,999,926,7281,6676,7119,5838,3112,3115,2052,2525,2087,2413,2831,2081,1583,812,976,31.7,96.3,153750,1893,833,328,496,328,259,419,447,278,923,1309,1799,1532,1506,2925,9805,5614,446,60,1502,253,698,1557,925,16346,7964,3773,1956,31771,1323,11749,827,10391,520,8263,1072,20,263,6847,951,18233,5285,48540,34480,2359,9630,10003,3645.0,,,357.0,1.0,1.0,1.0,1.0,0.0,7.0
10004,ZCTA5 10004,3875,364,284,73,91,53,570,708,529,239,298,90,267,132,114,4,22,7,30,32.9,120.5,220592,40,0,0,6,0,5,6,0,0,76,6,176,98,153,237,972,157,0,0,39,11,62,130,5,1283,839,454,160,2537,159,1030,5,982,0,679,39,0,5,799,38,976,189,3686,2388,267,923,10004,2897.6666666666665,,,71.0,,,,,,3.0
10005,ZCTA5 10005,9238,356,168,319,56,1014,2272,1304,1103,632,475,699,348,131,157,204,0,0,0,31.5,100.8,211810,20,80,0,9,0,129,101,14,148,53,163,405,201,452,716,2665,424,9,0,299,131,193,282,61,3703,1377,958,134,7510,309,3616,0,3364,135,1749,134,0,0,1432,111,3724,935,8303,6123,405,1311,10005,5757.333333333333,,,78.0,0.0,0.0,1.0,0.0,0.0,2.0
10006,ZCTA5 10006,4475,123,119,54,556,158,900,841,444,565,264,157,55,96,54,89,0,0,0,31.5,78.9,209972,68,0,0,49,24,40,20,112,44,109,61,125,83,154,205,1211,580,0,0,163,0,57,229,75,1499,741,547,154,3040,125,1606,126,1281,122,556,21,0,48,792,160,1513,125,4350,2807,271,1058,10006,3961.1666666666665,,,39.0,,,,,,4.0
10007,ZCTA5 10007,7802,573,563,251,163,634,867,1023,803,645,948,377,139,211,324,173,1,60,47,33.8,90.1,"250,000+",158,47,0,0,12,42,21,0,16,19,60,104,64,81,473,2212,232,13,22,196,127,127,128,54,2936,1362,508,46,4897,291,2164,2,2142,0,1156,33,0,64,1690,174,1619,1016,6786,4719,684,1164,10007,3287.0,,,108.0,0.0,0.0,1.0,0.0,0.0,8.0
10009,ZCTA5 10009,58341,1828,1786,1416,1470,4208,7297,8404,4239,3340,2871,3055,4836,3991,2417,2780,1330,1901,1172,38.2,100.4,87963,3150,1850,1107,1029,588,521,443,678,509,1417,2118,2867,2266,2099,3320,6063,11359,1580,1014,4114,1141,1282,3366,1854,18161,9037,1043,1592,30672,1593,13979,2433,11075,285,5093,1754,143,783,10493,4283,19532,14245,44096,29544,4437,7415,10009,,,,143.0,0.0,1.0,0.0,0.0,0.0,1.0
10010,ZCTA5 10010,31905,1022,1468,1155,1924,2566,3714,3435,2528,1982,1965,1664,1375,1687,1365,1491,915,897,752,36.0,87.3,156127,799,459,480,207,219,468,233,83,141,487,595,1009,1674,725,1797,6816,2696,207,163,1360,152,338,1383,613,10844,4862,2757,676,18227,854,6310,986,5116,193,4757,296,0,135,6113,1385,10079,2701,29204,20040,2839,4517,10010,,,,176.0,,,,,,3.0
10011,ZCTA5 10011,49344,1163,1180,1109,2276,2590,5870,5806,3006,2966,3040,2930,4411,3592,2451,2600,2148,1502,704,43.0,101.2,146571,1280,784,499,592,336,350,877,501,443,1272,1252,1843,2172,2181,3325,10570,4295,443,278,2451,342,643,2314,952,16396,10511,3710,1874,30533,1654,12529,441,11854,203,6124,1023,0,489,8360,1489,19917,6398,42946,33431,1859,5091,10011,,,,333.0,0.0,1.0,1.0,0.0,0.0,8.0
10012,ZCTA5 10012,21846,713,309,671,410,2513,3288,2826,1713,1258,1750,1558,938,769,922,1129,542,319,218,35.5,91.5,130938,877,184,242,228,209,208,187,103,237,349,801,937,1302,940,1121,3984,2299,273,140,596,247,260,767,318,8539,3173,1270,1363,14136,879,4862,183,4553,109,3535,596,181,159,3593,751,8316,2300,19546,14392,646,3780,10012,,,,147.0,1.0,0.0,0.0,0.0,0.0,5.0
10013,ZCTA5 10013,28215,1164,968,1241,1024,2003,2957,1988,2539,2689,1422,2646,1622,999,1359,1177,1101,678,638,40.3,90.2,159474,513,626,183,508,103,210,113,99,162,645,410,941,976,587,1287,5246,2609,410,496,1777,150,440,1012,333,9773,3520,2003,421,15202,1083,5940,241,5538,124,3058,431,0,157,6489,1193,6120,2189,26026,14970,915,8621,10013,,,,286.0,0.0,1.0,0.0,0.0,0.0,7.0
10014,ZCTA5 10014,29772,679,632,644,496,1594,4824,3901,2427,1833,2331,1707,1875,1478,1946,1313,1267,370,455,39.4,96.4,167254,770,310,179,364,210,178,255,342,265,739,565,1734,1322,962,1730,7757,1896,105,38,1150,78,604,1463,308,12875,6176,1812,976,19679,905,7707,311,6994,320,3654,986,0,152,5181,704,12501,3223,26549,23303,907,1503,10014,4787.333333333333,,,149.0,,,,,,4.0
10016,ZCTA5 10016,54297,1596,1244,1458,1035,5810,10428,7284,3854,3315,3857,2457,2096,2075,2280,2230,1093,817,1368,33.7,95.3,153065,1795,617,292,904,659,293,178,448,501,1171,1208,2220,2655,1935,2941,12347,5180,245,132,1980,724,843,2333,761,17897,10700,4903,1738,36491,2118,9572,1414,7484,375,12899,964,24,247,8528,1602,21636,6161,48136,31995,2339,10788,10016,,,,308.0,1.0,1.0,0.0,0.0,0.0,2.0
10017,ZCTA5 10017,14985,198,226,154,74,1067,2224,2037,1179,1264,789,778,609,794,1011,917,940,404,320,41.4,85.7,132518,403,429,177,62,465,247,244,204,91,340,607,748,629,546,1242,3095,1522,61,109,519,5,114,775,77,5439,3426,1235,1214,10164,703,2644,187,2396,61,3614,8,0,57,2667,430,6862,637,14348,9845,491,2736,10017,7980.5,,,257.0,,,,,,3.0
10018,ZCTA5 10018,8764,179,200,86,399,442,1771,1682,903,493,419,354,370,608,326,197,153,68,114,33.5,99.3,133042,362,144,90,73,176,0,105,51,70,288,108,486,444,303,366,1835,1434,152,83,395,175,177,284,230,3107,1774,454,271,5677,341,1740,50,1553,67,1816,170,0,24,1467,282,3434,1290,7474,3682,870,2272,10018,,,,333.0,,,,,,2.0
10019,ZCTA5 10019,44276,1383,753,369,371,1721,6101,6617,4436,2972,2157,2738,2896,2536,2847,3047,1462,999,871,40.6,120.2,121835,1768,1052,482,1504,408,551,341,530,745,894,1228,2224,1929,1216,3188,8840,4682,200,2,2655,556,593,2290,1872,16804,9568,3305,1089,27964,1588,10765,1296,9183,249,7773,534,0,527,7667,1968,19233,7360,36916,24534,2157,8084,10019,6363.233333333334,,,511.0,0.0,0.0,1.0,0.0,0.0,7.0
10020,ZCTA5 10020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10020,,,,,,,,,,
10021,ZCTA5 10021,39479,1714,1231,2055,1472,1415,3768,4417,2500,2219,2524,2594,1724,2176,1895,1965,1916,2168,1726,41.8,77.5,156712,879,204,252,294,455,310,200,220,598,821,1087,1898,1522,1079,2101,8399,1941,117,41,1745,50,1011,1843,809,12393,6616,4638,1822,22726,1922,8608,1621,6812,175,4823,133,0,183,9515,830,10804,2633,36846,31455,232,3871,10021,1763.1666666666667,,,195.0,,,,,,2.0
10022,ZCTA5 10022,34340,1584,967,964,763,967,2950,3711,2875,1915,1215,2306,1746,2519,1869,2240,2108,1647,1994,47.1,85.8,171038,814,247,370,623,82,227,566,80,204,263,801,1793,1142,996,2239,8180,2265,144,63,1707,103,632,1347,435,10937,8409,3409,1568,19680,1553,4911,944,3745,222,6572,230,0,306,7884,890,10743,2769,31571,25146,640,4026,10022,6055.75,,,382.0,0.0,1.0,0.0,0.0,0.0,4.0
10023,ZCTA5 10023,67468,3174,2732,2836,2922,2159,4632,5490,5573,5391,4156,4283,5423,4337,4499,3156,2912,1917,1876,43.8,84.9,157866,1769,1118,870,499,590,639,672,630,234,1565,2371,2941,2177,2011,3824,14971,5658,227,242,2324,750,386,2657,1166,20448,14115,7766,2889,37643,2123,15216,849,13948,400,5719,1440,114,437,14476,2740,22405,6656,60812,44126,2773,10924,10023,3031.75,,,191.0,1.0,1.0,0.0,0.0,0.0,2.0
10024,ZCTA5 10024,62576,3930,2527,2882,1514,1663,3562,6862,5210,3263,4570,4540,4063,4367,3337,3794,2622,1514,2356,44.8,88.6,182614,1112,655,324,412,364,592,430,348,227,642,1547,1854,2375,1950,3185,13430,4788,397,70,1962,389,835,2152,971,17492,14919,6991,2754,34216,3275,15209,1575,13525,109,2709,972,78,834,14502,2107,14945,5600,56976,49705,1868,2973,10024,,,,190.0,,,,,,2.0
10025,ZCTA5 10025,93223,3738,3433,3039,4567,7462,10397,7135,6220,5263,4387,5795,5341,5788,4886,5745,4451,2737,2839,40.4,87.8,109195,3422,1689,1310,1019,996,1014,700,532,789,1786,1571,4062,3820,2520,3271,12528,13351,843,553,5389,1537,1865,5673,2090,20536,17867,6438,3988,46879,2462,23558,2330,20998,230,6411,1426,0,274,19284,6121,21745,20965,72258,49932,8894,9381,10025,,,,265.0,1.0,1.0,1.0,0.0,0.0,4.0
10026,ZCTA5 10026,37113,1994,1803,1982,1634,2359,3693,3408,3297,3232,2574,3097,1903,2212,1530,927,767,355,346,37.6,90.2,74140,935,1023,757,589,701,401,494,482,474,781,1212,1538,1339,667,1409,2735,6551,470,247,4227,1018,682,2895,1068,7474,5035,1042,1082,18845,2149,10362,1172,9145,32,1761,302,0,225,7321,3473,8216,6624,30489,9260,16884,2324,10026,,,,98.0,,,,,,4.0
10027,ZCTA5 10027,65068,3513,3052,3566,5570,6795,7111,5470,4013,4840,3679,3721,3540,2928,2377,1831,1455,728,879,32.5,94.1,64220,2913,1651,1182,1247,755,563,355,872,639,1448,1739,2389,1545,1191,2033,3987,13545,893,635,6389,1447,1104,4275,1606,10626,7645,1438,2353,30344,1909,14555,1865,12428,262,5802,790,0,287,10994,5377,13515,15470,49598,17622,21729,6647,10027,5343.5,,,198.0,0.0,1.0,0.0,0.0,0.0,4.0
10028,ZCTA5 10028,45679,1740,2022,1773,1239,1382,4106,4676,4180,2948,2224,2584,2797,3391,2592,3131,1868,1192,1834,42.8,81.0,168125,881,449,323,435,437,365,96,234,473,692,1342,2289,1779,1764,2289,11053,2299,187,54,1455,334,572,2377,953,12638,10775,5583,2239,27032,1864,10703,1505,8911,201,5036,343,0,275,10580,1099,14321,2780,42899,37365,722,3177,10028,,,,166.0,1.0,0.0,0.0,0.0,0.0,2.0
10029,ZCTA5 10029,74848,4222,3342,4234,3955,4983,6554,6566,6382,4244,4464,4359,4653,4268,4348,2719,2613,1295,1647,37.8,77.2,38308,4662,4334,2080,1796,1895,914,1314,1032,1039,1982,2636,2466,1480,827,1605,3036,22134,2040,1261,10098,2669,1782,6059,2474,10912,5574,1499,1308,29884,2301,17777,3518,14039,152,4351,690,45,287,16049,10126,17049,31403,43445,10493,20782,8883,10029,,,,246.0,,,,,,2.0
10030,ZCTA5 10030,30781,1923,1093,1833,1527,2171,2645,2721,2715,1949,2076,1825,2198,2016,1456,1005,440,694,494,37.3,89.2,42738,1610,1464,831,654,611,417,850,334,343,927,818,1535,534,482,594,1176,10015,1107,272,3479,1489,713,2553,1244,4282,2728,502,258,13602,1015,8804,1948,6724,132,1228,218,10,85,5756,3675,7424,8372,22409,2902,16745,1521,10030,,,,87.0,,,,,,2.0
10031,ZCTA5 10031,60305,2660,3053,1884,2310,3057,6825,7481,6070,4269,3630,3239,3282,4402,3254,1690,1136,1283,780,37.1,97.7,65067,1880,1448,1032,880,909,733,567,838,731,1453,1615,2517,1581,1312,2065,2430,13718,1411,1111,7183,1209,1900,5731,1832,11576,5727,1017,1014,31397,2273,18912,3381,15295,236,2006,703,36,237,10922,5480,11069,29473,30832,10609,14907,2606,10031,,,,189.0,,,,,,4.0
10032,ZCTA5 10032,55579,1726,2049,2074,2439,4644,6391,4812,4437,3791,3795,3206,2911,3090,3357,2323,1441,1503,1590,38.4,91.8,56588,1679,2097,902,808,774,826,825,749,606,1819,1954,2514,1624,1304,1427,1451,10884,2392,629,6099,1294,1565,4541,1899,10220,4297,1336,1111,25024,1844,14848,2014,12491,300,3763,359,0,465,10009,5720,11350,34688,20891,9200,6710,2781,10032,,,,146.0,,,,,,5.0
10033,ZCTA5 10033,53611,2742,2152,2625,2227,4167,5357,4671,4998,3789,3710,3287,2791,3561,2463,2272,1333,674,792,37.7,101.3,75585,1825,917,645,985,750,525,425,534,429,1117,1605,2000,2272,1438,1486,2794,8953,1660,860,4774,1311,1327,4211,2703,8729,5567,1047,1039,26678,2952,15442,2276,12840,326,2905,372,12,338,10899,5218,8848,33822,19789,14460,2329,1722,10033,3233.5,,,202.0,1.0,0.0,0.0,0.0,0.0,3.0
10034,ZCTA5 10034,39037,2134,1829,2339,1347,2059,3310,4016,3635,2405,2229,3109,2873,2017,1621,1597,1021,757,739,38.1,90.5,69786,934,1087,699,636,304,612,529,541,443,988,1470,1715,1498,990,1537,1479,5687,923,615,4542,977,1292,3691,1536,6276,3596,713,916,20011,3082,11730,1644,9933,153,1276,199,0,420,8172,3837,7290,26191,12846,7343,2750,1171,10034,,,,140.0,,,,,,3.0
10035,ZCTA5 10035,39082,2124,2157,2394,1949,2676,3529,3498,3288,2673,2131,2711,2326,2284,1694,1262,694,764,928,36.9,102.5,40556,2412,2023,824,848,543,494,340,449,535,892,959,1106,1019,740,968,904,14181,1443,799,5518,1951,1024,2634,1476,5116,2308,716,383,15143,1575,9685,1385,8116,184,1078,359,0,156,6856,4122,8200,16341,22741,5492,13769,2196,10035,,,,175.0,0.0,0.0,0.0,0.0,1.0,2.0
10036,ZCTA5 10036,30589,551,649,585,541,2485,3775,4198,2624,2377,2566,1927,1813,1596,1544,1330,904,526,598,39.7,130.9,100225,904,677,539,1241,469,424,506,373,506,1265,1069,1461,1775,1430,2016,4231,4155,195,161,1797,686,694,1754,1263,10594,5462,1394,416,20154,451,7840,1537,5882,373,5543,894,0,363,4922,1528,13964,5706,24883,15644,2286,4670,10036,7679.833333333333,,,573.0,1.0,0.0,1.0,0.0,0.0,5.0
10037,ZCTA5 10037,18333,592,949,949,551,917,1185,2048,1489,1274,1030,1453,1279,994,1176,713,645,323,766,41.6,73.8,51250,1661,713,536,522,369,331,122,509,300,358,993,1072,562,502,805,850,5049,302,302,2664,772,469,1475,781,3697,1997,305,208,8205,1114,4482,628,3735,119,502,117,18,59,3675,2076,6530,3801,14532,1992,11040,771,10037,,,,34.0,,,,,,
10038,ZCTA5 10038,23342,711,536,1500,1773,2017,3025,2369,1693,1698,945,897,1166,1126,974,505,648,629,1130,34.1,79.0,115121,965,645,228,414,203,148,213,128,204,509,292,935,742,894,1000,3174,3939,599,211,1363,295,365,855,684,6413,2951,695,289,12437,732,5152,316,4635,176,3306,137,0,108,4247,1360,6447,2748,20594,9849,2301,6849,10038,3636.333333333333,,,123.0,,,,,,4.0
10039,ZCTA5 10039,30512,1918,1359,1956,1908,1427,2883,2150,2250,1997,2936,2163,2165,1877,1066,1148,522,523,264,38.6,88.5,48792,1279,818,641,631,301,672,795,890,215,585,1383,1050,1169,602,878,518,8592,1342,147,4673,1155,1054,3322,1708,3846,1752,277,87,11871,1001,8638,1633,6945,60,686,177,0,116,6947,4818,5480,9987,20525,2126,16308,446,10039,,,,43.0,,,,,,2.0
10040,ZCTA5 10040,41581,1782,1859,1839,1707,2214,3454,3302,3468,3084,3320,2431,2734,2479,2978,1726,1337,1145,722,41.5,91.2,64022,1319,947,610,628,642,697,618,558,558,818,1592,1900,1672,1138,1001,1562,6741,1108,929,5414,1294,1195,3172,1433,6778,4148,701,691,19847,1857,11800,1523,10017,260,2103,354,0,207,8748,4464,7512,28612,12969,9348,1447,704,10040,,,,131.0,,,,,,4.0
10044,ZCTA5 10044,11998,967,530,550,377,455,1030,1058,1224,1182,737,533,473,689,687,583,407,158,358,39.4,86.4,106146,330,160,127,84,59,92,126,20,136,307,442,574,258,527,450,1454,1293,83,21,718,302,120,555,298,2540,2306,753,964,5567,329,3435,159,3091,28,171,27,0,272,2735,478,2411,1230,10768,4953,1726,3530,10044,425.1666666666667,,,10.0,,,,,,1.0
10069,ZCTA5 10069,6669,738,255,577,81,60,428,400,937,771,421,631,681,161,138,78,146,98,68,39.3,126.7,226151,509,30,18,62,28,44,0,23,0,77,36,250,141,52,87,1845,1771,0,0,174,198,18,14,40,1823,1777,549,365,3202,290,1205,212,993,0,666,146,1,0,1623,374,1579,556,6113,2945,105,1947,10069,,,,27.0,,,,,,
10103,ZCTA5 10103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10103,,,,,,,,,,
10110,ZCTA5 10110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10110,,,,,,,,,,
10111,ZCTA5 10111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10111,,,,,,,,,,
10112,ZCTA5 10112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10112,,,,,,,,,,
10115,ZCTA5 10115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10115,,,,,,,,,,
10119,ZCTA5 10119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10119,,,,,,,,,,
10128,ZCTA5 10128,59000,2771,2035,1875,2020,2713,5623,5762,4802,3526,3463,3718,4186,3213,3097,3825,2732,1798,1841,42.7,79.9,148705,1676,760,335,494,339,1041,513,433,307,877,1336,2617,2687,1777,3465,11497,5011,236,375,3097,457,853,1939,2374,16442,11731,5747,2941,32259,2104,16229,2154,13444,511,3920,609,0,470,13687,2924,16467,7406,51594,39759,3121,6111,10128,,,,215.0,0.0,0.0,1.0,0.0,0.0,2.0
10152,ZCTA5 10152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10152,,,,,,,,,,
